pid,old-pid,gid,unique gid,goaldisrupted,old-cid,goal-statement,Goal categories,cid,uniquecid,Goal scope,rep-id,Situation that occurred ,Duplicate?,notes- circumstance,barrier or event,circumstance,socio-ecological layer,socio_ecological,Repeating for another goal,Life Event?,Pre-existing?,how-long,notes,frequency,notes,,affect-wellbeing,affect-logistical,Disruption labor produced,Disruption labor produced,Disruption labor produced,affect-goal: how did circumstance affect your goal? (answer only if ,change- how did you change your goal in response to circumstance,Goal changes,notes,,,,,
S139,S148,goal2,S139goal2,,circ2,Saving money,Financial Stability/Safety,circ2,S139goal2circ2,Medium term,,Finances,No,,event-external,fixing retaining wall,Psychosocial Factors,Living/Working,,No,No,multiple months to a year,,yearly or less,,,na,na,Financial,,,Monies set to be saved is being used to do repairs.,The wall is leaning and showing damage.,Skipped,,,,,,
S149,S159,goal1,S149goal1,,circ2,Save money for a newer car,Shopping,circ2,S149goal1circ2,Long term,,Transportation,No,,event-external,the damage to my car was far worse than anticipated so I had to spend more money on more expensive parts,Socioeconomic and Political Context,Living/Working,,No,No,multiple weeks to a month,,every 6 months,,,"It was devastating seeing my bank account that I had worked so hard on get drained so quickly. It felt like all the hard work I had done to build up my savings was gone in an instant and I had no choice but to pay it because without a car, I have no ability to work or make more money or feed myself or my family.","none, I had no choice. I tried looking for cheaper options and cheaper parts and was unsuccessful, especially with a lack of time as I needed my car the next day,",Emotional,Financial,Logistical,"Well, instead of spending $45 on pads and $60-80 on labor, I had to spend $65 on pads, $140 on rotors, and $125 on labor.","Instead of putting away $200 from my paycheck into the account where my new car money goes, I had to spend it on parts for my current car and had to take out money from my new car fund to be able to pay the mechanic and buy the other parts necessary to fix my car and get it on the road.",Skipped,,,,,,
S17,S17,goal1,S17goal1,,circ2,Save up to move,Housing,circ2,S17goal1circ2,Long term,,Transportation,No,,event-external,One of our vehicles being towed,Psychosocial Factors,Living/Working,No,No,No,multiple days to a week,,weekly,,,It causes me anxiety and stress since it is another cost,,Emotional,,,It makes it more difficult since we have to pay to get it back,It's unchanged,Skipped,,,,,,
S21,S21,goal1,S21goal1,,circ1,Find a job,Work/Career,circ1,S21goal1circ1,Medium term,,Finances,No,assuming they had a home at some point,event-external,Currently homeless,Psychosocial Factors,Living/Working,No,Yes,Yes,multiple months to a year,,daily,not okay,non-recurring,"Stressfully, scary situation, doesn't help my already poor mental health, makes me feel like the worst mother alove",,Emotional,,,"No clue where I would be able to get to day to day, plus no address to put down on applications",Reached out to my mother for help in securing housing forst,Changed/ adopted support,,,,,,
S09,S09,goal5,S09goal5,,circ1,Enjoy the present,Mental health and wellbeing,circ1,S09goal5circ1,Aspirational,r11,Caregiving,Yes,,barrier-unconfident,Life stresses/ Mom life,Psychosocial Factors,Psychosocial,Yes,No,No,an hour or less,,every other week,,,Day to day worries and overwhelm of being a mom,,Emotional,,,Tired from long days and unexpected things happen,,Skipped,,,,,,
S22,S22,goal2,S22goal2,,circ1,Save $1000 for concert and travel,Recreation,circ1,S22goal2circ1,Long term,,Finances,No,,barrier-unconfident,I also have to set aside money for student loans,Psychosocial Factors,Living/Working,No,No,No,multiple months to a year,,monthly,,,stressed,,Emotional,,,,I have to prioritize student loans,Other,,,,,,
S10,S10,goal1,S10goal1,,circ3,Give more to people,Social connection,circ2,S10goal1circ2,Aspirational,,Internal - Feelings and thoughts,No,,barrier-unconfident,Energy,Behaviors and Biological Factors,Behavior/Biological,No,No,No,more than an hour to half a day,,daily,,,Feeling too tired to do for others,,Emotional,,,I was too tired,"I did what i could when i felt i had a little energy, i didnt overwork myself",Changed quantity,,,,,,
S10,S10,goal1,S10goal1,,circ5,Give more to people,Social connection,circ4,S10goal1circ4,Aspirational,,Surroundings,No,locarion,barrier,Distance,Psychosocial Factors,Living/Working,No,No,Yes,multiple months to a year,,every other week,,,I live too far,,No response,,,I live far from many of my friends,I text or call instead of feeling pressure to visit in person,Substituted activity,,,,,,
S100,S107,goal1,S100goal1,,circ1,Losing weight,Weight management,circ1,S100goal1circ1,Long term,,Diet,No,,event-internal,I have tons of junk food in my pantry.,Psychosocial Factors,Behavior/Biological,No,No,Yes,multiple months to a year,,daily,okay,recurring,"I am an emotional eater, I have to find healthier alternatives to deal with my emotions.",None,Emotional,,,None,Remove them and donate them to a local charity.,No response,,,,,,
S100,S107,goal3,S100goal3,,circ1,Trying to clean up after myself,Cleaning/organizing,circ1,S100goal3circ1,Medium term,,Housework,No,,barrier,Too much clothes/ I have no place to put them so I leave them in a pile.,Psychosocial Factors,Psychosocial,No,No,No,longer than a year,"assuming that she doesn't have space,needs to create more space or get rid of clothes??, could be fixed in a few hours?, or feeling interfering daily?",daily,okay,recurring,I become stressed,N/a,Emotional,,,I have no place to put them so I leave them in a pile.,Still working on it.,Abandoned,,,,,,
S100,S107,goal2,S100goal2,,circ1,Focusing on my job more,Work/Career,circ1,S100goal2circ1,Medium term,,Internal - Feelings and thoughts,No,,barrier-unconfident,"Don’t concentrate on my work, I can’t focus because I have ADHD",Living and Working Conditions,Psychosocial,No,No,No,multiple days to a week,,daily,,,N/a,N/a,No response,,,I don’t get time to finish what I am suppose to do because I get distracted.,"I didn’t change, I still have this issue.",Abandoned,,,,,,
S101,S108,goal2,S101goal2,S101goal1,circ2,stopping pornography,Screentime management,circ1,S101goal2circ1,Aspirational,,Internal - Feelings and thoughts,No,,barrier,Feelings of loneliness.,Psychosocial Factors,Psychosocial,No,No,No,multiple weeks to a month,,monthly,,,felt guilty,none,Emotional,,,none,"In response to feelings of loneliness, I focused on staying connected with others by reaching out to friends and family for conversations and support. I also substituted screen time with activities like reading or going for walks, which helped me manage those emotions in a healthier way. Additionally, I made it a priority to engage in hobbies and group activities to reduce feelings of isolation.",Changed/ adopted support,,,,,,
S101,S108,goal3,S101goal3,,circ3,finding a well fulfilling job,Work/Career,circ1,S101goal3circ1,Aspirational,,Employment,No,,event-external,A recent rejection from a job application affected my motivation,Behaviors and Biological Factors,Psychosocial,No,No,No,multiple months to a year,,every 6 months,,,none,none,No response,,,none,I spent time going other things,Abandoned,,,,,,
S102,S109,goal2,S102goal2,,circ2,Applying to at least five jobs every day.,Work/Career,circ2,S102goal2circ2,Medium term,r27,Internal - Feelings and thoughts,Yes,,barrier-unconfident,Lack of motivation,Behaviors and Biological Factors,Psychosocial,Yes,No,No,more than an hour to half a day,,daily,,,"I felt useless, unwanted, not good enough, and generally sad.",Played video games with people I love to take my mind of the negative things.,Emotional,,,Not wanting to even open my computer or negative thinking preventing me from achieving my goal.,"I applied in smaller increments, like spending an hour searching and applying.",Changed quantity,,,,,,
S102,S109,goal2,S102goal2,,circ3,Applying to at least five jobs every day.,Work/Career,circ3,S102goal2circ3,Medium term,,Internal-Skills,No,,event-external,Not finding anything I'm qualified for to apply in the first place.,Psychosocial Factors,Psychosocial,No,No,No,more than an hour to half a day,,daily,,,"I feel less than, I feel depressed.",Spent time with my partner and playing video games to ease my mind.,Emotional,,,Not finding anything I'm qualified for defeats the purpose of applying to 5 a day.,"Nothing, I don't have any skills or degrees to make myself a better choice over other applicants.",No change,changed goal-changes from skipped/abandoned-- no change to goal mentioned,,,,,
S102,S109,goal1,S102goal1,,circ3,Actively working to lose 60 pounds. I've lost 15 so far.,Weight management,circ3,S102goal1circ3,Long term,r27,Internal - Feelings and thoughts,No,,barrier-unconfident,Lack of motivation.,Behaviors and Biological Factors,Psychosocial,Yes,No,No,multiple days to a week,,monthly,,,It increased my anxiety about how I feel about my body. I slept my days away.,NA,Emotional,,,I felt like a downer. I didn't want to do anything.,I started watching more content with people that looked like me to get inspiration.,Changed strategy-other,,,,,,
S102,S109,goal2,S102goal2,,circ1,Applying to at least five jobs every day.,Work/Career,circ1,S102goal2circ1,Medium term,,Technical,No,,event-external,No access to Wi-Fi or cellular service.,Psychosocial Factors,Living/Working,No,No,No,multiple days to a week,,every other week,,,"I felt isolated, worried about if people really cared about me, I lost interest in the things I wanted and needed to do.",Got a ride to places with stable connection. Helped set up a new connection at home.,Emotional,Logistical,,I couldn't do anything on my phone or computer in order to reach my goal.,I've been able to connect to a more stable Wi-Fi network.,Substituted activity,,,,,,
S102,S109,goal1,S102goal1,,circ1,Actively working to lose 60 pounds. I've lost 15 so far.,Weight management,circ1,S102goal1circ1,Long term,,Social interaction - other,No,,event-external,Large family gatherings with large amounts of delicious food and lack of self control.,Social and Community Networks,Social/Community,No,No,No,more than an hour to half a day,,weekly,,,I felt pressured to eat larger portions of food.,Drink more water in between bites to get fuller faster and to force myself to pace.,Emotional,Logistical,,My family is big on having several servings to prevent wasting food.,Eating one or two plates of food slowly to allow myself to get full and acknowledge it.,Changed thoughts or belief,,,,,,
S102,S109,goal2,S102goal2,,circ4,Applying to at least five jobs every day.,Work/Career,circ4,S102goal2circ4,Medium term,,Transportation,No,,event-external,Unreliable transportation.,Living and Working Conditions,Living/Working,No,No,No,multiple days to a week,,daily,,,I feel trapped in the house because my car broken down and I have to depend on other people.,Playing more video games to escape my reality.,Emotional,,,Employers are less likely to choose you if you have unreliable transportation. I avoided jobs where that wouild be an issue.,I tried networking for options on where to apply to get a job. My parents have become my transportation.,Other,,,,,,
S102,S109,goal1,S102goal1,,circ2,Actively working to lose 60 pounds. I've lost 15 so far.,Weight management,circ2,S102goal1circ2,Long term,,Travel,No,,event-external,"Traveling with family, unable to get to a gym or do home workouts.",Social and Community Networks,Social/Community,No,No,No,more than half a day to a day,,weekly,,,I felt pressured to put it off.,NA,Emotional,,,"Less alone time, more time with people that don't workout.",I started doing YouTube or Apple Fitness workouts alone to keep up with my goal,Changed environment,,,,,,
S103,S111,goal1,S103goal1,,circ2,spend more time with family,Social connection,circ2,S103goal1circ2,Medium term,r28,Caregiving,No,,event-external,"cat is having health problems, looking for solutions",Behaviors and Biological Factors,Social/Community,Yes,No,No,multiple weeks to a month,,yearly or less,,,"stressed me out, worrying","vet appointments, online research",Emotional,Logistical,,I'm focused on figuring out what's wrong,spend less time with them,Skipped,,,,,,
S103,S111,goal2,S103goal2,,circ1,save money,Financial Stability/Safety,circ1,S103goal2circ1,Long term,r28,Caregiving,Yes,,event-external,health problems with cat,Behaviors and Biological Factors,Social/Community,Yes,No,No,multiple weeks to a month,,yearly or less,,,stressed,"vet, research",Emotional,Logistical,,none,I'm not worried about saving money since it's going towards my cats vet bills,Paused,,,,,,
S103,S111,goal1,S103goal1,,circ1,spend more time with family,Social connection,circ1,S103goal1circ1,Medium term,,Entertainment,No,,event-external,new update came out for favorite video game,Psychosocial Factors,Living/Working,No,No,No,multiple days to a week,,every 6 months,,,"made me look forward to playing, but guilty for not doing other things",NA,Emotional,,,it made me want to just play that in my free time,I spent less time with them than I would have otherwise,Skipped,,,,,,
